Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
0,1,Sand,0.978,'> -1.079,'<= 0.247,"",D,"A, B, C, E, F, G, H, I, J, K, L"
0,2,Sand,0.967,'> 0.142,"",'> 0.148,"A, C, D, E, F, G, H, I, K","B, J, L"
0,3,Sand,0.929,'<= -0.385,'<= -2.246,'> 0.08,Any,None
0,4,Sand,0.929,'<= -1.079,'<= -1.92,'> 0.15,Any,None
0,5,Sand,0.7909999999999999,'> -0.385,"","",Any,None
0,6,Sand,0.764,"",'<= 0.259,"",G,"A, B, C, D, E, F, H, I, J, K, L"
0,7,Reef,0.993,'<= 1.494,'> 0.227,"",K,"A, B, C, D, E, F, G, H, I, J, L"
0,8,Reef,0.989,'<= 0.021,'> 0.227,"","A, B, D, E, F, H, I, J, K, L","C, G"
0,9,Reef,0.986,'<= 0.448,'> 0.227,"",J,"A, B, C, D, E, F, G, H, I, K, L"
0,10,Reef,0.974,'-0.385 < x <= 0.463,'> -1.208,"",E,"A, B, C, D, F, G, H, I, J, K, L"
0,11,Reef,0.974,'-0.385 < x <= 1.494,'> 0.4,"","A, B, D, E, F, G, H, I, J, K, L",C
0,12,Reef,0.967,"",'> 0.227,"",L,"A, B, C, D, E, F, G, H, I, J, K"
0,13,Reef,0.961,'<= 1.301,"",'<= -0.173,Any,None
0,14,Reef,0.96,'<= 0.142,'<= 0.091,'<= 0.123,"C, D, F, H, I","A, B, E, G, J, K, L"
0,15,Reef,0.9590000000000001,'<= 0.142,'0.091 < x <= 0.227,"","C, E, F, H, I, J","A, B, D, G, K, L"
0,16,Reef,0.9570000000000001,'<= 0.632,"",'<= -0.104,"A, B, D, E, F, G, H, I, J, K, L",C
0,17,Reef,0.9560000000000001,'<= -0.385,'> 0.259,"",Any,None
0,18,Reef,0.9440000000000001,'<= 2.582,'> -0.07,'<= -0.173,Any,None
0,19,Reef,0.9390000000000001,'<= 1.494,'> 0.261,"",J,"A, B, C, D, E, F, G, H, I, K, L"
0,20,Reef,0.935,'-0.385 < x <= 1.494,"","",A,"B, C, D, E, F, G, H, I, J, K, L"
0,21,Reef,0.922,'<= -0.385,"","","A, B, C, D, E, F, H, I, J, K, L",G
0,22,Reef,0.897,'<= 1.494,'-0.45 < x <= 0.227,"","C, E, F, H","A, B, D, G, I, J, K, L"
1,1,Sand,0.963,'> -2.06,'<= 0.166,"",D,"A, B, C, E, F, G, H, I, J, K, L"
1,2,Sand,0.8230000000000001,'0.172 < x <= 1.579,'0.132 < x <= 0.276,'<= 0.036,"B, C, D, E, F, G, H, J, K, L","A, I"
1,3,Sand,0.8180000000000001,'> -0.736,'<= 0.132,'> 0.014,"B, C, D, E, F, G, H, I, J, K, L",A
1,4,Sand,0.778,'-2.06 < x <= -0.736,'<= -0.564,'> 0.001,Any,None
1,5,Sand,0.774,'-2.06 < x <= -0.736,'<= 0.166,'> 0.001,A,"B, C, D, E, F, G, H, I, J, K, L"
1,6,Sand,0.645,'> -0.736,"","",Any,None
1,7,Reef,0.995,"",'> 0.334,"",K,"A, B, C, D, E, F, G, H, I, J, L"
1,8,Reef,0.992,'<= -2.06,"","","A, B, C, D, E, F, H, I, J, K, L",G
1,9,Reef,0.97,'<= -2.61,"","",Any,None
1,10,Reef,0.965,'<= -0.736,'> 0.166,"","A, B, C, D, E, F, H, I, J, K, L",G
1,11,Reef,0.9580000000000001,"",'> 0.334,'<= -0.26,Any,None
